ZONEID,ZONELABEL,cycletowork,age25to34,travel10to20km,zerocarsvans
E05000461,Graveney,1.968296,29.2,23.2,29.7
E05000462,Hillside,2.095427,35.8,46.6,29
E05000463,Lavender Fields,2.296663,31.8,27,32.5
E05000464,Longthornton,1.290761,22.2,23.6,22.4
E05000465,Lower Morden,1.64646,19.5,24.9,11.7
E05000466,Merton Park,2.92557,23.3,35.4,19.8
E05000467,Pollards Hill,1.555677,18.4,22.6,23.9
E05000468,Ravensbury,1.437343,23.2,25.2,26.3
E05000469,Raynes Park,2.586567,25.4,40.8,19.9
E05000470,St Helier,1.603774,22.1,25,24.2
E05000471,Trinity,3.108406,37.8,42.6,31
E05000472,Village,2.587343,17.3,40.8,10.3
E05000473,West Barnes,2.420701,22.4,35.1,14.2
E05000474,Wimbledon Park,3.596523,30.4,32.4,21.6
E05000475,Beckton,1.028502,30.4,25.8,33.4
E05000476,Boleyn,0.704042,29.5,25.9,44.6
E05000477,Canning Town North,0.761468,27.9,19,50.1
E05000478,Canning Town South,1.252678,36.4,20.1,50.4
E05000479,Custom House,1.027676,28.3,20.9,38.3
E05000480,East Ham Central,0.643904,32.5,26.6,45.5
E05000481,East Ham North,0.455074,31.7,26.5,40.5
E05000482,East Ham South,0.864987,26.4,24.4,37.8
E05000483,Forest Gate North,1.725541,30,23.1,44.6
E05000484,Forest Gate South,1.25343,33.8,22.3,47.6
E05000485,Green Street East,0.54316,33.3,23,44.8
E05000486,Green Street West,0.45241,32.1,22.3,41.9
E05000487,Little Ilford,0.521467,28.7,26.8,45.1
E05000488,Manor Park,0.811413,31,25.9,40.9
E05000489,Plaistow North,0.972677,29.7,23.4,46.9
E05000490,Plaistow South,1.040873,27.9,24.3,46.5
E05000491,Royal Docks,1.259385,40.6,28.3,39.4
E05000492,Stratford and New Town,1.597313,39.4,18.5,57.3
E05000493,Wall End,0.496022,30,29,39
E05000494,West Ham,1.200613,30.7,22.3,48.3
E05000495,Aldborough,0.379341,23,32.7,17.4
E05000496,Barkingside,0.45204,21.6,35.5,15.7
E05000497,Bridge,0.708725,20.1,36.4,15.6
E05000498,Chadwell,0.585799,23.9,31.4,20.2
E05000499,Church End,1.437277,27.5,44.2,17.2
E05000500,Clayhall,0.361049,17.2,30.1,8.9
E05000501,Clementswood,0.29217,31.5,27.3,34.3
E05000502,Cranbrook,0.470286,26,27.2,18
E05000503,Fairlop,0.409924,20.4,33.2,15.5
E05000504,Fullwell,0.440577,18.4,28.8,17.4
E05000505,Goodmayes,0.46389,27.1,30.1,23.7
E05000506,Hainault,0.521585,20.4,30.3,22
E05000507,Loxford,0.342312,30.6,27.4,38.5
E05000508,Mayfield,0.512338,23.7,28.5,16.7
E05000509,Monkhams,1.025573,15.8,41.4,9.5
E05000510,Newbury,0.499365,24.8,32.8,20.5
E05000511,Roding,1.093643,23.1,38.8,19
E05000512,Seven Kings,0.451863,26,31.1,24.9
E05000513,Snaresbrook,1.686283,27.9,38.1,22.3
E05000514,Valentines,0.598979,30.1,30,31.5
